"","taxon","sample.month","variable","value"
"1","acari","a.9","1993",7.7
"13","amphinem","a.9","1993",1.97
"25","anchytar","a.9","1993",0.19
"37","baetis","a.9","1993",0
"49","beloneur","a.9","1993",47.63
"61","ceratopog","a.9","1993",135.05
"73","chironomid","a.9","1993",193.94
"85","copepod","a.9","1993",43.78
"97","corduleg","a.9","1993",198.14
"109","dicranota","a.9","1993",7.81
"121","diplosp","a.9","1993",30.45
"133","dixa","a.9","1993",0.33
"145","dolicho","a.9","1993",1.79
"157","dolophil","a.9","1993",0
"169","ectopria","a.9","1993",0
"181","elmid","a.9","1993",0
"193","empid","a.9","1993",2.25
"205","epeorus","a.9","1993",0
"217","fattigia","a.9","1993",47.48
"229","hexatomasp","a.9","1993",98.86
"241","hydroptila","a.9","1993",0
"253","isoperla","a.9","1993",5.65
"265","lanthus","a.9","1993",357.6
"277","lepidos","a.9","1993",36.21
"289","leptotars","a.9","1993",0
"301","leuctra","a.9","1993",49.7
"313","limonia","a.9","1993",0
"325","lipsothrix","a.9","1993",0
"337","lype","a.9","1993",13.12
"349","malirekus","a.9","1993",0
"361","molann","a.9","1993",0
"373","molophilus","a.9","1993",11.44
"385","nematoda","a.9","1993",12.8
"397","neophylax","a.9","1993",10.7
"409","nr.pedicia","a.9","1993",0
"421","nymphom","a.9","1993",0
"433","oligo","a.9","1993",177.41
"445","ormosia","a.9","1993",0
"457","paralepto","a.9","1993",5.45
"469","parapsyche","a.9","1993",0
"481","pediciaA","a.9","1993",7.02
"493","pelto","a.9","1993",67.18
"505","pgoera","a.9","1993",2.7
"517","pilaria","a.9","1993",0
"529","psilotreta","a.9","1993",1.41
"541","pslimnoph","a.9","1993",0
"553","pycno","a.9","1993",0
"565","rhabdom","a.9","1993",0
"577","rhyacoph","a.9","1993",38.53
"589","sciara","a.9","1993",13.52
"601","serratella","a.9","1993",3.6
"613","simulium","a.9","1993",0
"625","soyedina","a.9","1993",1.13
"637","sphaerid","a.9","1993",0.87
"649","stenonema","a.9","1993",3.8
"661","sweltsa","a.9","1993",0
