"","taxon","sample.month","variable","value"
"1","acari","a.9","1993",2887.5
"13","amphinem","a.9","1993",18.75
"25","anchytar","a.9","1993",6.25
"37","baetis","a.9","1993",0
"49","beloneur","a.9","1993",56.25
"61","ceratopog","a.9","1993",3268.75
"73","chironomid","a.9","1993",36775
"85","copepod","a.9","1993",43781.25
"97","corduleg","a.9","1993",75
"109","dicranota","a.9","1993",37.5
"121","diplosp","a.9","1993",56.25
"133","dixa","a.9","1993",50
"145","dolicho","a.9","1993",6.25
"157","dolophil","a.9","1993",0
"169","ectopria","a.9","1993",0
"181","elmid","a.9","1993",0
"193","empid","a.9","1993",56.25
"205","epeorus","a.9","1993",0
"217","fattigia","a.9","1993",25
"229","hexatomasp","a.9","1993",581.25
"241","hydroptila","a.9","1993",0
"253","isoperla","a.9","1993",56.25
"265","lanthus","a.9","1993",87.5
"277","lepidos","a.9","1993",125
"289","leptotars","a.9","1993",0
"301","leuctra","a.9","1993",218.75
"313","limonia","a.9","1993",0
"325","lipsothrix","a.9","1993",0
"337","lype","a.9","1993",118.75
"349","malirekus","a.9","1993",0
"361","molann","a.9","1993",0
"373","molophilus","a.9","1993",75
"385","nematoda","a.9","1993",16843.75
"397","neophylax","a.9","1993",100
"409","nr.pedicia","a.9","1993",0
"421","nymphom","a.9","1993",0
"433","oligo","a.9","1993",5325
"445","ormosia","a.9","1993",0
"457","paralepto","a.9","1993",237.5
"469","parapsyche","a.9","1993",0
"481","pediciaA","a.9","1993",12.5
"493","pelto","a.9","1993",937.5
"505","pgoera","a.9","1993",18.75
"517","pilaria","a.9","1993",0
"529","psilotreta","a.9","1993",6.25
"541","pslimnoph","a.9","1993",0
"553","pycno","a.9","1993",0
"565","rhabdom","a.9","1993",0
"577","rhyacoph","a.9","1993",481.25
"589","sciara","a.9","1993",200
"601","serratella","a.9","1993",6.25
"613","simulium","a.9","1993",0
"625","soyedina","a.9","1993",12.5
"637","sphaerid","a.9","1993",50
"649","stenonema","a.9","1993",18.75
"661","sweltsa","a.9","1993",0
"673","syrphid","a.9","1993",0
"685","tanypod","a.9","1993",912.5
"697","tipula","a.9","1993",37.5
"709","turbell","a.9","1993",0
"721","wormsp","a.9","1993",25
"2","acari","b.10","1993",1106.25
"14","amphinem","b.10","1993",12.5
"26","anchytar","b.10","1993",0
"38","baetis","b.10","1993",0
"50","beloneur","b.10","1993",6.25
"62","ceratopog","b.10","1993",1437.5
"74","chironomid","b.10","1993",15962.5
"86","copepod","b.10","1993",5312.5
"98","corduleg","b.10","1993",187.5
"110","dicranota","b.10","1993",62.5
"122","diplosp","b.10","1993",50
"134","dixa","b.10","1993",0
"146","dolicho","b.10","1993",0
"158","dolophil","b.10","1993",0
"170","ectopria","b.10","1993",0
"182","elmid","b.10","1993",100
"194","empid","b.10","1993",331.25
"206","epeorus","b.10","1993",0
"218","fattigia","b.10","1993",175
"230","hexatomasp","b.10","1993",337.5
"242","hydroptila","b.10","1993",0
"254","isoperla","b.10","1993",68.75
"266","lanthus","b.10","1993",12.5
"278","lepidos","b.10","1993",87.5
"290","leptotars","b.10","1993",0
"302","leuctra","b.10","1993",218.75
"314","limonia","b.10","1993",12.5
"326","lipsothrix","b.10","1993",0
"338","lype","b.10","1993",12.5
"350","malirekus","b.10","1993",0
"362","molann","b.10","1993",0
"374","molophilus","b.10","1993",106.25
"386","nematoda","b.10","1993",10781.25
"398","neophylax","b.10","1993",0
