"","taxon","sample.month","variable","value"
"1","acari","a.9","1993",0.91
"13","amphinem","a.9","1993",52.23
"25","anchytar","a.9","1993",0
"37","baetis","a.9","1993",0
"49","beloneur","a.9","1993",5.97
"61","ceratopog","a.9","1993",2.71
"73","chironomid","a.9","1993",8.93
"85","copepod","a.9","1993",0.12
"97","dicranota","a.9","1993",0
"109","diplosp","a.9","1993",54.51
"121","dixa","a.9","1993",0.1
"133","dolicho","a.9","1993",0
"145","dolophil","a.9","1993",0
"157","ectopria","a.9","1993",6
"169","elmid","a.9","1993",0
"181","empid","a.9","1993",1.35
"193","epeorus","a.9","1993",17.12
"205","fattigia","a.9","1993",0
"217","hexatomasp","a.9","1993",7.87
"229","hydroptila","a.9","1993",0
"241","isoperla","a.9","1993",14.32
"253","lanthus","a.9","1993",0
"265","lepidos","a.9","1993",0
"277","leuctra","a.9","1993",0
"289","limonia","a.9","1993",0
"301","lype","a.9","1993",0
"313","malirekus","a.9","1993",0
"325","molann","a.9","1993",0
"337","molophilus","a.9","1993",0
"349","nematoda","a.9","1993",0.05
"361","neophylax","a.9","1993",0.27
"373","nymphom","a.9","1993",0
"385","oligo","a.9","1993",0.95
"397","paralepto","a.9","1993",0
"409","parapsyche","a.9","1993",139.94
"421","pediciaA","a.9","1993",0
"433","pelto","a.9","1993",20.25
"445","pgoera","a.9","1993",4.66
"457","pilaria","a.9","1993",0
"469","pslimnoph","a.9","1993",0
"481","pycno","a.9","1993",0
"493","rhabdom","a.9","1993",0
"505","rhyacoph","a.9","1993",36.09
"517","sciara","a.9","1993",0
"529","serratella","a.9","1993",2.5
"541","simulium","a.9","1993",1.5
"553","soyedina","a.9","1993",0
"565","stenonema","a.9","1993",0.16
"577","sweltsa","a.9","1993",0
"589","tanypod","a.9","1993",0
"601","tipula","a.9","1993",0
"613","turbell","a.9","1993",0
"625","wormsp","a.9","1993",0
"2","acari","b.10","1993",2.25
"14","amphinem","b.10","1993",30.65
"26","anchytar","b.10","1993",0
"38","baetis","b.10","1993",0
"50","beloneur","b.10","1993",17.27
"62","ceratopog","b.10","1993",0.57
"74","chironomid","b.10","1993",24.94
"86","copepod","b.10","1993",0.25
"98","dicranota","b.10","1993",0.72
"110","diplosp","b.10","1993",11.92
"122","dixa","b.10","1993",0.01
"134","dolicho","b.10","1993",0
"146","dolophil","b.10","1993",0
"158","ectopria","b.10","1993",0
"170","elmid","b.10","1993",0
"182","empid","b.10","1993",0.24
"194","epeorus","b.10","1993",0.37
"206","fattigia","b.10","1993",0
"218","hexatomasp","b.10","1993",0
"230","hydroptila","b.10","1993",0
"242","isoperla","b.10","1993",0.93
"254","lanthus","b.10","1993",0
"266","lepidos","b.10","1993",0
"278","leuctra","b.10","1993",5.49
"290","limonia","b.10","1993",0
"302","lype","b.10","1993",0
"314","malirekus","b.10","1993",0
"326","molann","b.10","1993",0
"338","molophilus","b.10","1993",0
"350","nematoda","b.10","1993",0.06
"362","neophylax","b.10","1993",0
"374","nymphom","b.10","1993",0
"386","oligo","b.10","1993",1.41
"398","paralepto","b.10","1993",0.06
"410","parapsyche","b.10","1993",31.75
"422","pediciaA","b.10","1993",0
"434","pelto","b.10","1993",28.92
"446","pgoera","b.10","1993",0.42
"458","pilaria","b.10","1993",0
"470","pslimnoph","b.10","1993",0
"482","pycno","b.10","1993",0
"494","rhabdom","b.10","1993",0
"506","rhyacoph","b.10","1993",0.79
"518","sciara","b.10","1993",0
"530","serratella","b.10","1993",0
"542","simulium","b.10","1993",0
"554","soyedina","b.10","1993",0
"566","stenonema","b.10","1993",0
"578","sweltsa","b.10","1993",0
"590","tanypod","b.10","1993",0.32
"602","tipula","b.10","1993",0
"614","turbell","b.10","1993",3.38
"626","wormsp","b.10","1993",0.5
"3","acari","c.11","1993",1.72
"15","amphinem","c.11","1993",0
"27","anchytar","c.11","1993",0
"39","baetis","c.11","1993",6.81
"51","beloneur","c.11","1993",0
"63","ceratopog","c.11","1993",5.18
"75","chironomid","c.11","1993",3.47
"87","copepod","c.11","1993",0.2
"99","dicranota","c.11","1993",0
"111","diplosp","c.11","1993",3.79
"123","dixa","c.11","1993",0.46
"135","dolicho","c.11","1993",0
"147","dolophil","c.11","1993",0
"159","ectopria","c.11","1993",0.36
"171","elmid","c.11","1993",0
"183","empid","c.11","1993",1.21
"195","epeorus","c.11","1993",188.29
"207","fattigia","c.11","1993",0
"219","hexatomasp","c.11","1993",0
"231","hydroptila","c.11","1993",0
"243","isoperla","c.11","1993",24.79
"255","lanthus","c.11","1993",0
"267","lepidos","c.11","1993",0
"279","leuctra","c.11","1993",0
"291","limonia","c.11","1993",0
"303","lype","c.11","1993",0
"315","malirekus","c.11","1993",0
"327","molann","c.11","1993",0
"339","molophilus","c.11","1993",0
"351","nematoda","c.11","1993",0.1
"363","neophylax","c.11","1993",0
