"","taxon","sample.month","variable","value"
"1","acari","a.9","1993",340.33
"13","amphinem","a.9","1993",739.67
"25","anchytar","a.9","1993",0
"37","baetis","a.9","1993",0
"49","beloneur","a.9","1993",14.67
"61","ceratopog","a.9","1993",44
"73","chironomid","a.9","1993",3019.33
"85","copepod","a.9","1993",118.33
"97","dicranota","a.9","1993",0
"109","diplosp","a.9","1993",236.33
"121","dixa","a.9","1993",14.67
"133","dolicho","a.9","1993",0
"145","dolophil","a.9","1993",0
"157","ectopria","a.9","1993",14.67
"169","elmid","a.9","1993",0
"181","empid","a.9","1993",103.67
"193","epeorus","a.9","1993",14.67
"205","fattigia","a.9","1993",0
"217","hexatomasp","a.9","1993",29.34
"229","hydroptila","a.9","1993",0
"241","isoperla","a.9","1993",74
"253","lanthus","a.9","1993",0
"265","lepidos","a.9","1993",0
"277","leuctra","a.9","1993",0
"289","limonia","a.9","1993",0
"301","lype","a.9","1993",0
"313","malirekus","a.9","1993",0
"325","molann","a.9","1993",0
"337","molophilus","a.9","1993",0
"349","nematoda","a.9","1993",59.33
"361","neophylax","a.9","1993",59.33
"373","nymphom","a.9","1993",0
"385","oligo","a.9","1993",133.33
"397","paralepto","a.9","1993",0
"409","parapsyche","a.9","1993",325.67
"421","pediciaA","a.9","1993",0
"433","pelto","a.9","1993",399.33
"445","pgoera","a.9","1993",44.33
"457","pilaria","a.9","1993",0
"469","pslimnoph","a.9","1993",0
"481","pycno","a.9","1993",0
"493","rhabdom","a.9","1993",0
"505","rhyacoph","a.9","1993",44.33
"517","sciara","a.9","1993",0
"529","serratella","a.9","1993",147.67
"541","simulium","a.9","1993",29.67
"553","soyedina","a.9","1993",0
"565","stenonema","a.9","1993",14.67
"577","sweltsa","a.9","1993",0
"589","tanypod","a.9","1993",0
"601","tipula","a.9","1993",0
"613","turbell","a.9","1993",0
"625","wormsp","a.9","1993",0
"2","acari","b.10","1993",843.67
"14","amphinem","b.10","1993",355.33
"26","anchytar","b.10","1993",0
"38","baetis","b.10","1993",0
"50","beloneur","b.10","1993",59
"62","ceratopog","b.10","1993",14.67
"74","chironomid","b.10","1993",8214.33
"86","copepod","b.10","1993",251.67
"98","dicranota","b.10","1993",14.67
"110","diplosp","b.10","1993",251.34
"122","dixa","b.10","1993",14.67
"134","dolicho","b.10","1993",0
"146","dolophil","b.10","1993",0
"158","ectopria","b.10","1993",0
"170","elmid","b.10","1993",0
"182","empid","b.10","1993",59.33
"194","epeorus","b.10","1993",29.67
"206","fattigia","b.10","1993",0
"218","hexatomasp","b.10","1993",0
"230","hydroptila","b.10","1993",0
"242","isoperla","b.10","1993",14.67
"254","lanthus","b.10","1993",0
"266","lepidos","b.10","1993",0
"278","leuctra","b.10","1993",14.67
"290","limonia","b.10","1993",0
"302","lype","b.10","1993",0
"314","malirekus","b.10","1993",0
"326","molann","b.10","1993",0
"338","molophilus","b.10","1993",0
"350","nematoda","b.10","1993",74
"362","neophylax","b.10","1993",0
"374","nymphom","b.10","1993",0
"386","oligo","b.10","1993",695.67
"398","paralepto","b.10","1993",14.67
"410","parapsyche","b.10","1993",355.33
"422","pediciaA","b.10","1993",0
"434","pelto","b.10","1993",740
