scrapers,shredders,gatherers,filterers,inv.pred,habitat,yr.num,stream,sample.yr,tot.cbom.g,Q_90_seas_c.spring,Q_90_seas_d.summer,Q_90_seas_a.fall,Q_90_seas_b.winter,Q_25_seas_c.spring,Q_25_seas_d.summer,Q_25_seas_a.fall,Q_25_seas_b.winter,Q_max_seas_c.spring,Q_max_seas_d.summer,Q_max_seas_a.fall,Q_max_seas_b.winter,Q_min_seas_c.spring,Q_min_seas_d.summer,Q_min_seas_a.fall,Q_min_seas_b.winter,WT_90_seas_a.fall,WT_90_seas_b.winter,WT_90_seas_c.spring,WT_90_seas_d.summer,WT_mean_seas_a.fall,WT_mean_seas_b.winter,WT_mean_seas_c.spring,WT_mean_seas_d.summer,ann.str_temp_mean_c,ann.str_temp_cv,mean.ann.q
0.995101912,6.552756311,5.828952971,4.632736714,6.511880288,BC,0,53,1993,935.0266667,14,0,32,54,0,31,0,0,7.04,2.35,24.79,6.3,0.67,0,0,1.18,3,14,0,15,13.02243728,9.389093702,10.6809319,16.78989247,12.47058884,0.262740107,1.245808219
1.458227351,6.399168813,5.53436069,3.386111944,6.687022361,BC,1,53,1994,1287.02,26,8,2,2,0,0,50,23,13.88,23.36,10.73,6.81,0.52,0.02,0,0.06,6,2,0,0,12.4221147,7.228451421,11.28458781,15.70978495,11.66123472,0.308318832,0.831041096
1.55233832,6.570421838,5.599591028,3.929469919,6.953913411,BC,2,53,1995,1243.623333,5,0,6,9,10,8,0,0,9.94,6.02,8.82,19.06,0.02,0.01,0.25,0.37,3,12,18,22,13.28508961,8.744623656,11.96756272,16.84172043,12.7097491,0.258762288,0.816712329
0.559615788,6.888884168,5.669415297,3.620065138,6.8916115,BC,3,53,1996,1575.056667,1,3,12,25,0,0,0,0,4.6,8.12,22.12,24.84,0.6,0.1,0.01,0.3,7,5,13,2,12.82150538,7.636299592,11.00129032,16.03756272,11.8741645,0.305379662,1.042876712
1.710187816,6.416933787,5.77294311,3.609182173,6.600616253,BC,4,53,1997,1443.314167,47,6,10,5,0,0,0,0,15.28,15.26,12.19,15.82,0,0.16,0.1,0.52,1,16,14,0,12.59989247,8.540860215,11.48261649,13.69802867,11.58034946,0.203791927,1.264136986
1.107461904,6.130827859,5.889900058,4.048242449,6.30484787,BC,5,53,1998,1038.844167,44,2,4,25,0,5,0,0,22.84,13.38,7.16,32.13,0.74,0.01,0.02,0.13,0,0,0,16,10.00179211,5.675652842,9.5290681,16.52688172,10.43334869,0.440041471,1.213150685
2.327927901,6.525442574,5.569256937,2.927274973,6.366378806,BC,6,53,1999,1038.230833,3,0,0,0,40,0,37,47,11.07,7.71,2.44,3.65,0.35,0.05,0,0.01,23,19,3,12,13.62501792,8.55264977,11.08043011,16.56956989,12.45691692,0.29109809,0.399835616
2.264190705,6.436604325,5.880269916,3.638112337,6.917391204,BC,7,53,2000,1159.121667,2,0,0,0,40,52,36,69,13.19,2.97,4.92,2.03,0.14,0.01,0,0.05,5,8,15,22,12.94623656,7.439822024,11.79666667,16.76541219,12.23703436,0.304726275,0.295561644
0.876856663,6.568905051,6.004064006,3.308899328,6.608944849,BC,8,53,2001,1183.160833,0,0,1,0,89,26,35,77,1.61,6.29,13.37,2.37,0.01,0.04,0,0.02,11,2,8,1,12.49175627,5.760714286,11.05218638,16.39551971,11.42504416,0.389821861,0.222575342
2.242481169,6.67796049,5.567997752,3.532055064,6.621360156,BC,9,53,2002,1370.590833,1,0,2,0,12,0,0,14,3.03,7.68,4.21,3.02,0.44,0.09,0.01,0.07,3,15,20,9,12.64695341,8.413786482,11.70204301,16.65437276,12.35428891,0.274480458,0.515342466
0.266841407,7.087534022,6.012971196,3.741570729,6.834998189,BC,10,53,2003,2128.8925,30,57,16,5,0,0,0,0,15.93,14.36,11.31,6.64,0.77,0.51,0.09,0.38,18,2,5,0,13.98913978,8.173732719,11.91759857,15.58634409,12.41670379,0.266496999,1.438082192
1.139167581,7.220930863,6.266646948,4.439872891,7.020231667,BC,11,53,2004,1813.859167,0,0,10,1,0,0,0,0,4.8,8.61,19.82,4.51,0.46,0.1,0.16,0.41,9,3,21,9,13.32964158,8.032665925,11.84487455,16.39189964,12.39977042,0.270386687,0.746986301
0.756904146,7.029428516,5.857616438,3.576247193,6.829977504,BC,12,53,2005,1727.938333,2,86,46,27,0,0,0,0,7.8,19.14,20.77,5.97,0.67,0.7,0.06,0.92,6,21,4,0,14.00767025,9.233333333,11.18731183,15.69673835,12.53126344,0.227640601,1.585972603
1.65137928,7.220350062,5.752884759,3.964409868,6.750676427,BC,13,53,2006,1172.13,0,0,27,5,10,22,0,0,3.65,11.3,4.41,10.22,0.29,0,0.36,0.46,17,5,21,53,13.49605735,8.361290323,11.77598566,17.43046595,12.76594982,0.29461959,0.728465753
4.094608416,4.417142379,5.233667728,6.064180479,4.739023402,RF,0,53,1993,34.34333333,14,0,32,54,0,31,0,0,7.04,2.35,24.79,6.3,0.67,0,0,1.18,3,14,0,15,13.02243728,9.389093702,10.6809319,16.78989247,12.47058884,0.262740107,1.245808219
